dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_delta,runtime_sec,error
acm,sect_coco_v1,ok,0.9067768595041322,0.696975900553733,0.7453407698916216,0.9063136771213983,0.9191,-0.012323140495867801,9.341,
acm,sect_coco_v1,ok,0.9067768595041322,0.696975900553733,0.7453407698916216,0.9063136771213983,0.9191,-0.012323140495867801,8.354,
acm,sect_coco_lowhard,ok,0.900495867768595,0.6830921951670724,0.7300021038375651,0.8998494754865605,0.9191,-0.018604132231405,4.804,
acm,sect_coco_smooth,ok,0.9084297520661156,0.7009041034404335,0.7489558800323937,0.9081557443774969,0.9191,-0.01067024793388438,4.235,
acm,sect_coco_sharp,ok,0.9064462809917355,0.6966542544762286,0.7446450657689628,0.905932999228468,0.9191,-0.012653719008264508,4.178,
acm,sect_coco_v1,ok,0.9332231404958677,0.7490819938490483,0.810969396892034,0.9332909943984381,0.9191,0.014123140495867714,6.932,
dblp,sect_coco_v1,ok,0.9290115849149618,0.7783057838918682,0.8300874931269495,0.924272161226293,0.8008,0.12821158491496187,156.332,
pubmed,sect_coco_v1,error,,,,,,,,"Traceback (most recent call last):
  File ""D:\study\graduate_student\papers\AAAI2027\AAAI0617\CODE\run_experiments.py"", line 170, in main
    pred = SECTCoCo(dataset.n_clusters, cfg).fit_predict(dataset.adj, features)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\study\graduate_student\papers\AAAI2027\AAAI0617\CODE\sect_coco.py"", line 137, in fit_predict
    global_graph = _diffusion_approx(_sym_normalize(denoised, add_self_loops=False), cfg.global_steps, cfg.ppr_alpha)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\study\graduate_student\papers\AAAI2027\AAAI0617\CODE\sect_coco.py"", line 297, in _diffusion_approx
    out = out + float(alpha * coeff) * power
          ~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  File ""D:\app\Anaconda\envs\aaai-e2e-subspace\Lib\site-packages\scipy\sparse\_base.py"", line 750, in __add__
    return self._add_sparse(other)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\app\Anaconda\envs\aaai-e2e-subspace\Lib\site-packages\scipy\sparse\_compressed.py"", line 258, in _add_sparse
    return self._binopt(other, '_plus_')
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\app\Anaconda\envs\aaai-e2e-subspace\Lib\site-packages\scipy\sparse\_compressed.py"", line 1207, in _binopt
    data = np.empty(maxnnz, dtype=upcast(self.dtype, other.dtype))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
numpy.core._exceptions._ArrayMemoryError: Unable to allocate 2.69 GiB for an array with shape (723342244,) and data type float32
"
wiki,sect_coco_v1,ok,0.5754677754677755,0.5634683092857813,0.4106094478638785,0.4575053545250652,0.5651,0.010367775467775453,4.718,
flickr,sect_coco_v1,ok,0.38864686468646864,0.2708909720066568,0.1535939243254624,0.4125785821998435,0.3649,0.02374686468646864,62.734,
blogcatalog,sect_coco_v1,ok,0.7734795996920708,0.5707943901592419,0.5616930695362846,0.7505221350308688,0.8369,-0.06342040030792917,27.275,
pubmed,sect_coco_v1,ok,0.618501800476746,0.23102564034674744,0.2187737310821731,0.6311582492165054,0.7551,-0.13659819952325403,15.703,
pubmed,sect_coco_v1,ok,0.49500431100065934,0.22099257055178004,0.18495943548464966,0.4293611323247075,0.7551,-0.26009568899934066,15.197,
blogcatalog,sect_coco_v1,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,9.414,
blogcatalog,sect_coco_lowhard,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.99,
blogcatalog,sect_coco_smooth,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.745,
blogcatalog,sect_coco_sharp,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.966,
blogcatalog,sect_coco_head_denoised,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.791,
blogcatalog,sect_coco_head_concat,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.791,
blogcatalog,sect_coco_blog_l2,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.748,
blogcatalog,sect_coco_blog_smooth,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.632,
blogcatalog,sect_coco_blog_denoised,ok,0.8423787528868361,0.6775486925134719,0.6737421025909809,0.8350893303614707,0.8369,0.00547875288683608,4.662,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,15.397,
pubmed,sect_coco_lowhard,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,12.392,
pubmed,sect_coco_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.379,
pubmed,sect_coco_sharp,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.324,
pubmed,sect_coco_head_denoised,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,9.887,
pubmed,sect_coco_head_concat,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.15,
pubmed,sect_coco_blog_l2,ok,0.5977582796571487,0.33352210465916743,0.28902760255589877,0.579445580041072,0.7551,-0.15734172034285132,10.296,
pubmed,sect_coco_blog_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,9.885,
pubmed,sect_coco_blog_denoised,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.227,
pubmed,sect_coco_pubmed_smooth40,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.165,
pubmed,sect_coco_pubmed_l2,ok,0.5977582796571487,0.33352210465916743,0.28902760255589877,0.579445580041072,0.7551,-0.15734172034285132,10.152,
