dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4300826446280992,0.02701366101137337,0.024712901539381597,0.42193545444136465,0.9362,0.7588,0.8189,-0.5061173553719008,-0.7317863389886267,-0.7941870984606184,10.24,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.31525757949223565,0.018317426344015893,0.005143573369018465,0.23761916558347984,0.9369,0.7971,0.8483,-0.6216424205077643,-0.7787825736559841,-0.8431564266309816,20.604,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5737704918032787,0.14042970856677417,0.2310271296199659,0.34788782462723417,0.7508,0.4619,0.5324,-0.17702950819672136,-0.3214702914332258,-0.3013728703800341,6.249,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.476948825886291,0.08330977696271558,0.08055038576422686,0.4625576869522086,0.7617,0.3771,0.4266,-0.28475117411370904,-0.2937902230372844,-0.34604961423577313,10.628,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.38148760330578513,0.012253818649004964,0.01280944018750898,0.37526199580435815,0.9362,0.7588,0.8189,-0.5547123966942149,-0.746546181350995,-0.806090559812491,27.21,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3228986936159724,0.05000119476866827,0.00655186031990256,0.23315896092883312,0.9369,0.7971,0.8483,-0.6140013063840275,-0.7470988052313318,-0.8417481396800975,50.899,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5317746107419993,0.13472897339841677,0.10757002176213949,0.5319209520868134,0.7617,0.3771,0.4266,-0.22992538925800077,-0.24237102660158322,-0.3190299782378605,25.519,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.26902286902286904,0.23137310661196953,0.08245058967356006,0.2443094012338517,0.644,0.592,0.449,-0.374977130977131,-0.36062689338803045,-0.36654941032643995,23.643,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.20356435643564355,0.051482971500214386,0.025562038680866574,0.17019066927117385,0.8159,0.6636,0.6425,-0.6123356435643564,-0.6121170284997856,-0.6169379613191334,165.031,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3849114703618168,0.1321547077045019,0.10179122040284082,0.35473354468222906,0.9172,0.786,0.8163,-0.5322885296381832,-0.6538452922954981,-0.7145087795971592,108.776,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21322822534128053,0.0013673438305708797,0.0001875408411877307,0.13807295499887323,0.3443,0.1224,0.0932,-0.13107177465871947,-0.12103265616942911,-0.09301245915881227,141.645,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5245901639344263,0.11348039958384319,0.16971663889732344,0.32585491746105555,0.7508,0.4619,0.5324,-0.22620983606557377,-0.34841960041615677,-0.3626833611026765,29.097,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.23232323232323232,0.010531927042179505,0.002337715865793499,0.1857972717405513,0.4202,0.2199,0.1557,-0.1878767676767677,-0.2093680729578205,-0.1533622841342065,41.248,
