dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4168595041322314,0.021513400222391958,0.018605080062921987,0.4096967399193098,0.9362,0.7588,0.8189,-0.5193404958677686,-0.737286599777608,-0.800294919937078,9.064,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3140251417303426,0.035034185173058105,0.01641660907795221,0.24486919792841336,0.9369,0.7971,0.8483,-0.6228748582696573,-0.7620658148269419,-0.8318833909220479,18.454,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.47588375513516257,0.09851577466189888,0.08405343156108576,0.4617684997727322,0.7617,0.3771,0.4266,-0.2858162448648375,-0.2785842253381011,-0.34254656843891423,10.065,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6885245901639344,0.4206307155847364,0.5220200484456292,0.4345296757446434,0.7508,0.4619,0.5324,-0.06227540983606561,-0.04126928441526356,-0.01037995155437077,6.5,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.312933025404157,0.07700711327510364,0.05979610052828979,0.2976444083428487,0.9172,0.786,0.8163,-0.604266974595843,-0.7089928867248964,-0.7565038994717103,13.582,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4168595041322314,0.021513400222391958,0.018605080062921987,0.4096967399193098,0.9362,0.7588,0.8189,-0.5193404958677686,-0.737286599777608,-0.800294919937078,11.942,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3063840276066059,0.030253492912512166,0.011998647014456819,0.23203382110064616,0.9369,0.7971,0.8483,-0.6305159723933941,-0.7668465070874879,-0.8363013529855432,21.054,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.47923112035299487,0.10036270613587972,0.08813331641883362,0.4636171782184033,0.7617,0.3771,0.4266,-0.2824688796470052,-0.27673729386412027,-0.3384666835811664,10.627,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.20873180873180874,0.13077429950269773,0.027733225599240196,0.1286334444179709,0.644,0.592,0.449,-0.4352681912681913,-0.46122570049730227,-0.4212667744007598,9.609,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.18627062706270628,0.033819511823577064,0.017133966953015244,0.16576777139344046,0.8159,0.6636,0.6425,-0.6296293729372937,-0.6297804881764228,-0.6253660330469847,25.785,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2823325635103926,0.05355961906051299,0.04138772954448497,0.26022121845016666,0.9172,0.786,0.8163,-0.6348674364896074,-0.732440380939487,-0.774912270455515,14.389,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.23053258988656028,0.008354397370371969,0.0035025827831531315,0.15407457982693123,0.3443,0.1224,0.0932,-0.11376741011343972,-0.11404560262962803,-0.08969741721684688,29.42,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6775956284153005,0.4150062934143186,0.48700511010666225,0.43056181150550793,0.7508,0.4619,0.5324,-0.0732043715846995,-0.04689370658568137,-0.04539488989333773,9.105,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.29907773386034253,0.09307074071835583,0.022055640248539288,0.28093706836443555,0.4202,0.2199,0.1557,-0.12112226613965749,-0.12682925928164418,-0.13364435975146072,12.312,
