dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.416198347107438,0.02075349459646854,0.018096788605782402,0.4093387434502229,0.9362,0.7588,0.8189,-0.520001652892562,-0.7380465054035314,-0.8008032113942175,15.579,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3241311313778654,0.027191540230465307,0.007438657431848259,0.24431846653779304,0.9369,0.7971,0.8483,-0.6127688686221345,-0.7699084597695347,-0.8408613425681518,44.008,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4779631789826038,0.09273082479121512,0.08986629137273294,0.4560031544369351,0.7617,0.3771,0.4266,-0.2837368210173962,-0.28436917520878485,-0.33673370862726704,25.345,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7103825136612022,0.4181290118065039,0.5061577180586762,0.4885237189358939,0.7508,0.4619,0.5324,-0.040417486338797826,-0.04377098819349606,-0.02624228194132383,19.42,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3187066974595843,0.07046971749471327,0.06392932431393657,0.29154719237925364,0.9172,0.786,0.8163,-0.5984933025404158,-0.7155302825052867,-0.7523706756860634,34.527,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.416198347107438,0.02075349459646854,0.018096788605782402,0.4093387434502229,0.9362,0.7588,0.8189,-0.520001652892562,-0.7380465054035314,-0.8008032113942175,10.121,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.31082080354942077,0.023514995787633282,0.011265467722112241,0.23634809088779574,0.9369,0.7971,0.8483,-0.6260791964505792,-0.7735850042123668,-0.8370345322778878,18.341,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4765430846477659,0.0933811891254882,0.08504065222318914,0.4579726033630646,0.7617,0.3771,0.4266,-0.28515691535223414,-0.2837188108745118,-0.34155934777681085,10.14,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2103950103950104,0.13454105401460914,0.02871993101627508,0.13112360051155064,0.644,0.592,0.449,-0.4336049896049896,-0.45745894598539083,-0.42028006898372494,8.618,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.1864026402640264,0.034011750504247595,0.017197044971333907,0.16601881535993124,0.8159,0.6636,0.6425,-0.6294973597359735,-0.6295882494957523,-0.6253029550286661,27.446,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2852193995381062,0.057312247010747885,0.05101980128386744,0.25493429768486414,0.9172,0.786,0.8163,-0.6319806004618937,-0.7286877529892521,-0.7652801987161326,17.023,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22130359546241107,0.005278960629306808,0.0008518051991005522,0.15012460784027495,0.3443,0.1224,0.0932,-0.12299640453758892,-0.11712103937069318,-0.09234819480089945,28.348,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7158469945355191,0.43743114829333296,0.5361433428675944,0.487104168343411,0.7508,0.4619,0.5324,-0.03495300546448088,-0.024468851706667016,0.003743342867594368,6.734,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2859025032938076,0.08316936149333479,0.02012024683646494,0.26664115705971103,0.4202,0.2199,0.1557,-0.1342974967061924,-0.13673063850666523,-0.13557975316353507,11.055,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4009917355371901,0.010878762472197349,0.01091658454078912,0.3901462532734942,0.9362,0.7588,0.8189,-0.53520826446281,-0.7479212375278027,-0.8079834154592108,59.527,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3396598471777175,0.02771656366610167,0.01168305511394186,0.23535236176186766,0.9369,0.7971,0.8483,-0.5972401528222824,-0.7693834363338984,-0.8366169448860582,278.208,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.48770096870720697,0.09551138362899524,0.08507570722398636,0.4772379933084891,0.7617,0.3771,0.4266,-0.27399903129279307,-0.28158861637100474,-0.3415242927760136,172.109,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6229508196721312,0.2947579390738277,0.3846269063388677,0.38848460626967596,0.7508,0.4619,0.5324,-0.12784918032786885,-0.1671420609261723,-0.14777309366113228,4.988,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.33140877598152424,0.0860702712900514,0.0700441573904126,0.3056257028321848,0.9172,0.786,0.8163,-0.5857912240184757,-0.6999297287099486,-0.7462558426095874,282.178,
