dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.41652892561983473,0.02093163733458123,0.018256933740384628,0.40961634922861445,0.9362,0.7588,0.8189,-0.5196710743801654,-0.7378683626654188,-0.8006430662596153,12.938,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3527236874537836,0.059059806846693506,0.03245876038577116,0.28602546515468774,0.9369,0.7971,0.8483,-0.5841763125462164,-0.7380401931533065,-0.8158412396142289,51.197,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4755794492062687,0.0920036192995119,0.09348590881145691,0.45395953776430237,0.7617,0.3771,0.4266,-0.28612055079373133,-0.2850963807004881,-0.33311409118854307,21.428,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6885245901639344,0.41095882268031864,0.4974275599880577,0.45417575743418437,0.7508,0.4619,0.5324,-0.06227540983606561,-0.05094117731968134,-0.034972440011942274,14.536,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.27655889145496537,0.05628737085008128,0.03972208647448377,0.2604616287205305,0.9172,0.786,0.8163,-0.6406411085450346,-0.7297126291499187,-0.7765779135255163,29.353,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3990082644628099,0.010641722729386169,0.010475790090177167,0.38818408507886776,0.9362,0.7588,0.8189,-0.5371917355371901,-0.7481582772706139,-0.8084242099098228,63.433,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3236381562731082,0.02059299380604702,0.011014286127695795,0.22518656771206783,0.9369,0.7971,0.8483,-0.6132618437268917,-0.776507006193953,-0.8372857138723042,291.066,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4585890348430289,0.05593884764890733,0.055139812911919744,0.43601216645684016,0.7617,0.3771,0.4266,-0.30311096515697117,-0.32116115235109266,-0.37146018708808026,166.013,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.639344262295082,0.32340484724637375,0.43702867497079506,0.3976683644595359,0.7508,0.4619,0.5324,-0.11145573770491801,-0.13849515275362623,-0.09537132502920492,5.009,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.26289453425712084,0.030378641031259136,0.019467130259549874,0.24746687421194555,0.9172,0.786,0.8163,-0.6543054657428792,-0.7556213589687409,-0.7968328697404502,270.547,
