dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.28482328482328484,0.21282307827219285,0.09252985332411402,0.2358563375463273,0.644,0.592,0.449,-0.3591767151767152,-0.37917692172780715,-0.356470146675886,42.141,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.23735973597359736,0.06875521271959917,0.04367196410338537,0.23088891368551134,0.8159,0.6636,0.6425,-0.5785402640264026,-0.5948447872804008,-0.5988280358966146,671.98,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21765045183618534,0.011951802242861126,0.0018009278323059086,0.14432428003015912,0.3443,0.1224,0.0932,-0.12664954816381466,-0.11044819775713886,-0.09139907216769409,340.003,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.31664470794905575,0.10308233077067926,0.03024760822295983,0.29426007878809635,0.4202,0.2199,0.1557,-0.10355529205094427,-0.11681766922932076,-0.12545239177704018,183.19,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.28191268191268193,0.21469245470392018,0.09592189398467955,0.22803130713404748,0.644,0.592,0.449,-0.3620873180873181,-0.3773075452960798,-0.35307810601532047,42.5,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.23643564356435642,0.06915955406197286,0.04098850401275138,0.22263445636099885,0.8159,0.6636,0.6425,-0.5794643564356435,-0.5944404459380271,-0.6015114959872486,671.943,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.49454545454545457,0.08632239296399379,0.10002422402755685,0.4880572355808832,0.9362,0.7588,0.8189,-0.44165454545454547,-0.6724776070360062,-0.7188757759724431,34.727,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21726591040184579,0.01157885633336911,0.0016615826070551427,0.14317221040239708,0.3443,0.1224,0.0932,-0.1270340895981542,-0.11082114366663089,-0.09153841739294487,3874.193,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4965289256198347,0.08021201528578058,0.09451291885398087,0.49024049355770494,0.9362,0.7588,0.8189,-0.43967107438016534,-0.6785879847142194,-0.7243870811460191,1975.922,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6386492482129652,0.3380245679038263,0.2903871315804907,0.6257060057263557,0.9369,0.7971,0.8483,-0.29825075178703475,-0.45907543209617374,-0.5579128684195094,3887.123,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5230004564588934,0.1865829598847975,0.13553250161193722,0.5303762449745996,0.7617,0.3771,0.4266,-0.23869954354110667,-0.19051704011520249,-0.2910674983880628,219.955,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.31357048748353095,0.1033421037586853,0.03119960696529267,0.292130435225851,0.4202,0.2199,0.1557,-0.10662951251646907,-0.11655789624131471,-0.12450039303470734,275.828,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6120218579234973,0.2938134127260487,0.36105395869638385,0.4012648508763488,0.7508,0.4619,0.5324,-0.13877814207650274,-0.16808658727395126,-0.17134604130361614,144.178,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7600076982294073,0.5338286447699192,0.5269126829839909,0.7561873271473281,0.9172,0.786,0.8163,-0.15719230177059274,-0.25217135523008083,-0.28938731701600917,139.179,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6398816859748583,0.3350493333943043,0.2781893850160412,0.628963423976313,0.9369,0.7971,0.8483,-0.29701831402514167,-0.4620506666056957,-0.5701106149839589,1561.718,
