dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.30145530145530147,0.2093942474566857,0.10073073228103228,0.23527011347802881,0.644,0.592,0.449,-0.34254469854469854,-0.3826057525433143,-0.3482692677189677,42.114,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.22957095709570957,0.06844513073240498,0.043778710582925665,0.2262671172689807,0.8159,0.6636,0.6425,-0.5863290429042904,-0.595154869267595,-0.5987212894170743,62.735,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.3188405797101449,0.10474139806531287,0.03485232060320412,0.2989604670700462,0.4202,0.2199,0.1557,-0.10135942028985512,-0.11515860193468715,-0.12084767939679589,61.245,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.2193808882907133,0.012614559790503447,0.002223225090042282,0.14960906597490975,0.3443,0.1224,0.0932,-0.12491911170928668,-0.10978544020949654,-0.09097677490995772,87.533,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5011570247933884,0.08466670071459544,0.10240938703288438,0.48921616345140634,0.9362,0.7588,0.8189,-0.4350429752066116,-0.6741332992854046,-0.7164906129671156,22.625,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6416070988415085,0.34342973548129446,0.2907533144666905,0.6303232392591266,0.9369,0.7971,0.8483,-0.2952929011584915,-0.45367026451870557,-0.5575466855333095,49.705,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5233554800426028,0.18648509386932222,0.13343783406487408,0.5291539262714955,0.7617,0.3771,0.4266,-0.23834451995739725,-0.19061490613067777,-0.2931621659351259,26.664,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7213114754098361,0.4188613894317613,0.49589056602959647,0.4586011264720941,0.7508,0.4619,0.5324,-0.029488524590163934,-0.043038610568238655,-0.036509433970403515,35.64,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7600076982294073,0.5282519499226523,0.5233575787299315,0.755959559652443,0.9172,0.786,0.8163,-0.15719230177059274,-0.2577480500773477,-0.29294242127006853,41.484,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.3081081081081081,0.24099295825090927,0.10934428259148284,0.25652906296292666,0.644,0.592,0.449,-0.3358918918918919,-0.3510070417490907,-0.3396557174085172,9.813,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2528052805280528,0.09331867662314569,0.05392257548100898,0.2613525773051756,0.8159,0.6636,0.6425,-0.5630947194719471,-0.5702813233768542,-0.588577424518991,22.81,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6228740448607345,0.30089077594137353,0.25342386326140215,0.6160804186091787,0.9369,0.7971,0.8483,-0.31402595513926546,-0.4962092240586265,-0.594876136738598,18.13,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6939890710382514,0.3920624854976266,0.514638357225939,0.43025260815134236,0.7508,0.4619,0.5324,-0.05681092896174866,-0.06983751450237335,-0.017761642774061004,6.591,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7215165511932256,0.480473413656393,0.46239190350322684,0.7179194729062698,0.9172,0.786,0.8163,-0.19568344880677446,-0.305526586343607,-0.3539080964967732,14.315,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5143801652892562,0.08442311660669816,0.0995056755568511,0.5087484243878094,0.9362,0.7588,0.8189,-0.4218198347107438,-0.6743768833933019,-0.7193943244431489,10.602,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6176978062607839,0.29955478900761734,0.24366323229513945,0.612702626093565,0.9369,0.7971,0.8483,-0.3192021937392161,-0.4975452109923827,-0.6046367677048606,19.104,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5246741390678095,0.17894510302247402,0.13143274114132955,0.5319522132071076,0.7617,0.3771,0.4266,-0.23702586093219058,-0.19815489697752597,-0.29516725885867046,10.803,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.3072765072765073,0.24795282967691373,0.1128347705669069,0.272093113013234,0.644,0.592,0.449,-0.3367234927234927,-0.34404717032308624,-0.3361652294330931,9.014,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.25636963696369636,0.09539441398460186,0.05689866285398646,0.2642849019577904,0.8159,0.6636,0.6425,-0.5595303630363035,-0.5682055860153981,-0.5856013371460135,29.099,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7211316397228638,0.4796762817908313,0.4663150523318915,0.716905841402614,0.9172,0.786,0.8163,-0.19606836027713626,-0.3063237182091687,-0.3499849476681085,17.804,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7103825136612022,0.4242226632741692,0.5566804683862402,0.4401180908643595,0.7508,0.4619,0.5324,-0.040417486338797826,-0.03767733672583079,0.024280468386240206,7.289,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22534128052297636,0.012905348500548825,0.0035068763027857304,0.15029981308493773,0.3443,0.1224,0.0932,-0.11895871947702363,-0.10949465149945117,-0.08969312369721427,29.327,
