dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2806652806652807,0.21643922787785072,0.08910204840931958,0.2594036949744013,0.644,0.592,0.449,-0.36333471933471934,-0.3755607721221492,-0.35989795159068044,31.233,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.23511551155115512,0.07060112516885662,0.04286062748961522,0.22518221137855793,0.8159,0.6636,0.6425,-0.5807844884488449,-0.5929988748311433,-0.5996393725103848,62.357,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21688136896750626,0.01038831092717227,0.0014850621286193048,0.14301357043244356,0.3443,0.1224,0.0932,-0.12741863103249373,-0.11201168907282773,-0.0917149378713807,71.967,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.32498902064119456,0.09921888233595848,0.03534704829778384,0.30289474276831263,0.4202,0.2199,0.1557,-0.09521097935880546,-0.12068111766404153,-0.12035295170221616,35.453,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.511404958677686,0.10390789203624151,0.11819923045292235,0.5064593041448331,0.9362,0.7588,0.8189,-0.42479504132231405,-0.6548921079637585,-0.7007007695470776,25.634,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6292827212225782,0.31817291503607575,0.26126004705509165,0.6201800477445397,0.9369,0.7971,0.8483,-0.30761727877742173,-0.4789270849639243,-0.5870399529449084,54.457,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5225439975655526,0.18586944389013527,0.13453942752043793,0.5294896116990607,0.7617,0.3771,0.4266,-0.23915600243444746,-0.19123055610986472,-0.2920605724795621,29.325,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6338797814207651,0.2919164045661647,0.3414697185402529,0.4228625590327718,0.7508,0.4619,0.5324,-0.11692021857923496,-0.1699835954338353,-0.1909302814597471,41.536,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7652040030792918,0.5378217556819437,0.5340749968568153,0.7612964146422293,0.9172,0.786,0.8163,-0.1519959969207082,-0.24817824431805635,-0.28222500314318477,42.758,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2814968814968815,0.2172536985599884,0.09185504045372422,0.25504206390287365,0.644,0.592,0.449,-0.3625031185031185,-0.37474630144001153,-0.3571449595462758,25.702,
