dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5846994535519126,0.1602627208420263,0.29746341937576537,0.3329607463474741,0.7508,0.4619,0.5324,-0.16610054644808747,-0.30163727915797367,-0.23493658062423461,3.856,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.29356667488291843,0.005272266819586342,0.0015683949665537468,0.2632923373242151,0.9369,0.7971,0.8483,-0.6433333251170815,-0.7918277331804137,-0.8467316050334464,5.69,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5018181818181818,0.07215274260162599,0.06625757175714393,0.4998293213563785,0.9362,0.7588,0.8189,-0.4343818181818182,-0.6866472573983741,-0.752642428242856,16.324,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.38156273108208033,0.09796849885880576,0.024215917500140367,0.27981180923821797,0.9369,0.7971,0.8483,-0.5553372689179197,-0.6991315011411943,-0.8240840824998596,40.152,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.40741492113404676,0.016919410197597937,0.019280832350121145,0.3724878018760009,0.7617,0.3771,0.4266,-0.3542850788659533,-0.36018058980240203,-0.40731916764987885,18.529,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.21247401247401249,0.16230026088406738,0.05731213476159475,0.16891563185647784,0.644,0.592,0.449,-0.43152598752598753,-0.4296997391159326,-0.39168786523840526,15.875,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2388118811881188,0.0695380295921119,0.047164946877992116,0.23468779624161884,0.8159,0.6636,0.6425,-0.5770881188118812,-0.5940619704078881,-0.5953350531220079,132.103,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.4545804464973056,0.2783807742840182,0.13547488262506224,0.3689092914711517,0.9172,0.786,0.8163,-0.4626195535026944,-0.5076192257159818,-0.6808251173749378,78.036,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.24456835223995385,0.012671482904893568,0.006942795569612306,0.17218194320918237,0.3443,0.1224,0.0932,-0.09973164776004614,-0.10972851709510642,-0.0862572044303877,107.921,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5628415300546448,0.18255978420888935,0.32173204657562493,0.3417735102315454,0.7508,0.4619,0.5324,-0.18795846994535526,-0.2793402157911106,-0.21066795342437505,21.577,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.27053140096618356,0.034813408752012394,0.023900762924193755,0.22588212213491068,0.4202,0.2199,0.1557,-0.14966859903381646,-0.18508659124798763,-0.13179923707580626,28.272,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.373675129405965,0.05722806383734168,0.0340526126573053,0.31247159741273384,0.9369,0.7971,0.8483,-0.563224870594035,-0.7398719361626583,-0.8142473873426948,8.04,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5245901639344263,0.11624711855015764,0.18157606508839486,0.331061400001403,0.7508,0.4619,0.5324,-0.22620983606557377,-0.34565288144984235,-0.35082393491160513,1.404,
