dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.41421487603305784,0.0150240034534635,0.013815848715346753,0.40876675780495786,0.9362,0.7588,0.8189,-0.5219851239669422,-0.7437759965465365,-0.8050841512846532,4.956,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3502588119299975,0.034908066893154094,0.03265159493870686,0.3030225443291931,0.9369,0.7971,0.8483,-0.5866411880700024,-0.762191933106846,-0.8156484050612932,9.66,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5355191256830601,0.15224518970688788,0.17182268463140896,0.3588962631407453,0.7508,0.4619,0.5324,-0.21528087431693987,-0.3096548102931121,-0.36057731536859106,2.269,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4403305785123967,0.02873504230006747,0.029796970190493394,0.43740511026051937,0.9362,0.7588,0.8189,-0.4958694214876033,-0.7300649576999325,-0.7891030298095065,20.615,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3500123243776189,0.0861930857093621,0.009907027349435712,0.23563262530944745,0.9369,0.7971,0.8483,-0.5868876756223811,-0.7109069142906379,-0.8383929726505643,49.034,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.519653091241061,0.09275532135842433,0.10165621837701853,0.510339646924646,0.7617,0.3771,0.4266,-0.24204690875893908,-0.28434467864157564,-0.32494378162298143,24.623,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.3101871101871102,0.2707179334160165,0.12480576416162141,0.2371241759269441,0.644,0.592,0.449,-0.3338128898128898,-0.32128206658398345,-0.3241942358383786,23.525,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.19881188118811882,0.060131395574723995,0.03890971742471569,0.1553750264535936,0.8159,0.6636,0.6425,-0.6170881188118811,-0.603468604425276,-0.6035902825752842,182.98,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.4284064665127021,0.16232973988718294,0.13593529853255978,0.3810945190859329,0.9172,0.786,0.8163,-0.4887935334872979,-0.6236702601128171,-0.6803647014674402,117.298,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22226494904825994,0.003189477727940017,0.0015942145240399777,0.1455868577240979,0.3443,0.1224,0.0932,-0.12203505095174005,-0.11921052227205997,-0.09160578547596003,150.792,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5081967213114754,0.15325373464908873,0.21751366927612803,0.3275095991658131,0.7508,0.4619,0.5324,-0.2426032786885246,-0.3086462653509112,-0.31488633072387195,29.167,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2231005709266579,0.004461252288402028,0.0006185557202046168,0.1693448610258061,0.4202,0.2199,0.1557,-0.19709942907334213,-0.215438747711598,-0.1550814442797954,39.121,
