dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3834710743801653,0.012551908201004184,0.010516190641932998,0.3804033283528951,0.9362,0.7588,0.8189,-0.5527289256198347,-0.7462480917989959,-0.808383809358067,20.004,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3810697559773231,0.12865043205239166,0.019465923631004467,0.2954028808373376,0.9369,0.7971,0.8483,-0.5558302440226768,-0.6684495679476083,-0.8288340763689956,46.274,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5859410660851042,0.18237894175794128,0.17005705902607798,0.5894850877572616,0.7617,0.3771,0.4266,-0.17575893391489583,-0.1947210582420587,-0.256542940973922,23.255,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.33014553014553016,0.3050736741227684,0.12391199817122202,0.2562920301458969,0.644,0.592,0.449,-0.31385446985446985,-0.28692632587723155,-0.325088001828778,22.765,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.1846864686468647,0.0389565066006543,0.017138428383608545,0.14982476136343748,0.8159,0.6636,0.6425,-0.6312135313531353,-0.6246434933993457,-0.6253615716163914,63.195,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3995381062355658,0.17429308394164614,0.1400525323362057,0.36612045224054973,0.9172,0.786,0.8163,-0.5176618937644342,-0.6117069160583539,-0.6762474676637943,40.629,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22553355124014612,0.006877056178291429,0.0033104702496081894,0.15255650700820972,0.3443,0.1224,0.0932,-0.11876644875985387,-0.11552294382170857,-0.08988952975039181,65.67,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6174863387978142,0.2504062961932391,0.3273645929860482,0.41570817412383415,0.7508,0.4619,0.5324,-0.1333136612021858,-0.21149370380676086,-0.2050354070139518,31.74,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2872200263504611,0.037809392228474605,0.03486622790802402,0.21156694044299934,0.4202,0.2199,0.1557,-0.1329799736495389,-0.18209060777152541,-0.12083377209197599,27.612,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.39140495867768593,0.013870018873522108,0.014237545141659452,0.3911569504672823,0.9362,0.7588,0.8189,-0.5447950413223142,-0.7449299811264779,-0.8046624548583405,10.363,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.34532906088242543,0.03884837278469594,0.03365317807002922,0.29947474721785183,0.9369,0.7971,0.8483,-0.5915709391175745,-0.7582516272153041,-0.8146468219299708,18.376,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4516914337881016,0.08629077298165463,0.06710897703415614,0.4431628963946416,0.7617,0.3771,0.4266,-0.31000856621189843,-0.29080922701834533,-0.35949102296584384,9.551,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5409836065573771,0.2434114181000541,0.2438641107614656,0.3629195048707244,0.7508,0.4619,0.5324,-0.20981639344262293,-0.21848858189994588,-0.28853588923853435,6.743,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2804080061585835,0.05607702244927816,0.03596902062566809,0.25652371818451847,0.9172,0.786,0.8163,-0.6367919938414165,-0.7299229775507219,-0.7803309793743319,14.186,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.38016528925619836,0.009105512642474556,0.009556138183907525,0.37808107614754904,0.9362,0.7588,0.8189,-0.5560347107438017,-0.7496944873575255,-0.8093438618160924,9.523,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.29923588858762634,0.014329003058656704,0.00257822804421312,0.22426866655805705,0.9369,0.7971,0.8483,-0.6376641114123736,-0.7827709969413433,-0.8457217719557869,17.534,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4041689912258457,0.04894617599081413,0.03200275049290992,0.3899590830647253,0.7617,0.3771,0.4266,-0.35753100877415434,-0.32815382400918586,-0.3945972495070901,9.672,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5136612021857924,0.21250415206832302,0.229141516356661,0.35485312899106003,0.7508,0.4619,0.5324,-0.23713879781420766,-0.24939584793167696,-0.30325848364333896,6.811,
