norm,self_loop,sw,steps,gamma,size_norm,acc,nmi,ari,f1
sym,True,0.25,1,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,0.8,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,0.8,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,1,1.0,False,0.6112266112266113,0.5978189802357486,0.4441776214542048,0.5373174333882583
sym,True,0.25,1,1.0,True,0.6112266112266113,0.5981791539648204,0.4442905419000783,0.5373732914445495
sym,True,0.25,1,1.2,False,0.6128898128898129,0.598661638851987,0.4460422625731319,0.5382412684993918
sym,True,0.25,1,1.2,True,0.6128898128898129,0.5992023167361304,0.44562967665899056,0.5385975906073607
sym,True,0.25,1,1.5,False,0.6141372141372141,0.599013086389455,0.4471589271197435,0.5386821955422186
sym,True,0.25,1,1.5,True,0.6124740124740125,0.5969614056921309,0.4444962809993822,0.5377118088946735
sym,True,0.25,1,2.0,False,0.6162162162162163,0.6010184372532176,0.450448279581062,0.538945476406419
sym,True,0.25,1,2.0,True,0.6120582120582121,0.596382322447553,0.44440765010639416,0.5366222124492336
sym,True,0.25,2,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,2,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,2,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,2,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,2,0.8,False,0.6128898128898129,0.5993307997343348,0.4461914632813103,0.5382802818456549
sym,True,0.25,2,0.8,True,0.6120582120582121,0.598398303864377,0.44472548281809793,0.5381058819060552
sym,True,0.25,2,1.0,False,0.614968814968815,0.6010055345117146,0.44870480197001966,0.5394763468799035
sym,True,0.25,2,1.0,True,0.6124740124740125,0.5985859303155523,0.44536920404416624,0.5379339525372979
sym,True,0.25,2,1.2,False,0.6162162162162163,0.6003755990731627,0.45003385437201116,0.5398505995145504
sym,True,0.25,2,1.2,True,0.6137214137214138,0.598556993261075,0.4469819788191973,0.5379672091779013
sym,True,0.25,2,1.5,False,0.6182952182952183,0.6027569531999302,0.4525982170185968,0.539708544266454
sym,True,0.25,2,1.5,True,0.6145530145530146,0.5981026419720049,0.44799031996058486,0.5380935648148912
sym,True,0.25,2,2.0,False,0.6182952182952183,0.5968796759991319,0.45042467293404076,0.5384363447949947
sym,True,0.25,2,2.0,True,0.6158004158004158,0.5956201441893643,0.447204355820571,0.5384177785830158
sym,True,0.25,3,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,3,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,3,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,3,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,3,0.8,False,0.6145530145530146,0.600696351962978,0.4482104680549806,0.5392935984392083
sym,True,0.25,3,0.8,True,0.6124740124740125,0.5985859303155523,0.44536920404416624,0.5379339525372979
sym,True,0.25,3,1.0,False,0.6170478170478171,0.6019316981040527,0.45153711663881324,0.5393613418159499
sym,True,0.25,3,1.0,True,0.6141372141372141,0.5990053843560105,0.4475747447271293,0.5381830717038063
sym,True,0.25,3,1.2,False,0.6182952182952183,0.6005327229122535,0.45182349400650595,0.539148107350202
sym,True,0.25,3,1.2,True,0.6162162162162163,0.5980086501009106,0.4485380346182139,0.5394659239405752
sym,True,0.25,3,1.5,False,0.6199584199584199,0.5953211114642775,0.4502017388520311,0.5398406716063373
sym,True,0.25,3,1.5,True,0.6145530145530146,0.590386600793213,0.442357898794723,0.5367999272110204
sym,True,0.25,3,2.0,False,0.6091476091476091,0.575408664879813,0.4318399745157949,0.4991001965485624
sym,True,0.25,3,2.0,True,0.6079002079002079,0.5753273564038109,0.4326238443890351,0.5296389775491069
sym,True,0.25,4,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,4,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,4,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,4,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,4,0.8,False,0.6153846153846154,0.601068374890046,0.4493338199887262,0.5394528201986842
sym,True,0.25,4,0.8,True,0.6137214137214138,0.5996586738565944,0.4470030592694715,0.5384982081932066
sym,True,0.25,4,1.0,False,0.6170478170478171,0.5990581317615631,0.45061951237181386,0.5385864949456879
sym,True,0.25,4,1.0,True,0.6141372141372141,0.5973000086805214,0.44711327596014766,0.5373691429767237
sym,True,0.25,4,1.2,False,0.6195426195426196,0.5975271910283124,0.4504391351099367,0.5401915762502904
sym,True,0.25,4,1.2,True,0.6174636174636174,0.5951441667608002,0.4487234821493559,0.5384309222009627
sym,True,0.25,4,1.5,False,0.6133056133056133,0.5823983137043748,0.43877963590466446,0.5017743872416346
sym,True,0.25,4,1.5,True,0.6112266112266113,0.5799923374999597,0.43721184079001274,0.501080971902188
sym,True,0.25,4,2.0,False,0.6008316008316008,0.5544765863587852,0.4156415225126091,0.5191581837428494
sym,True,0.25,4,2.0,True,0.5987525987525988,0.5497657397302261,0.4131197252768308,0.5178481341087032
sym,True,0.25,5,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,5,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,5,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,5,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,5,0.8,False,0.6170478170478171,0.6022885560248954,0.45146469819817664,0.5402705164969613
sym,True,0.25,5,0.8,True,0.6141372141372141,0.6001555745056332,0.44741590490019956,0.5384112638673911
sym,True,0.25,5,1.0,False,0.6182952182952183,0.5998557629218484,0.45145674053357115,0.5387864597421483
sym,True,0.25,5,1.0,True,0.6166320166320166,0.5968679482489763,0.4485736690086751,0.5393340673904453
sym,True,0.25,5,1.2,False,0.6178794178794179,0.59138858616879,0.4474020716907752,0.5063804750765794
