dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
texas,sect_coco_e2e_unified_aptc_texas,ok,0.3224043715846995,0.10794495202501256,0.028079478813505115,0.2795951230733839,0.7508,0.4619,0.5324,-0.42839562841530054,-0.35395504797498745,-0.5043205211864948,2.287,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.3224043715846995,0.10794495202501256,0.028079478813505115,0.2795951230733839,0.7508,0.4619,0.5324,-0.42839562841530054,-0.35395504797498745,-0.5043205211864948,1.356,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3950413223140496,0.027929054936886397,0.029064160450459408,0.39423340587367955,0.9362,0.7588,0.8189,-0.5411586776859505,-0.7308709450631137,-0.7898358395495405,12.638,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.32561005669213705,0.018631018946554802,0.01611405532891493,0.3234216745285655,0.9369,0.7971,0.8483,-0.6112899433078629,-0.7784689810534452,-0.8321859446710851,34.122,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.3681087386519247,0.009805296316030566,0.00702265648159532,0.3651763852218528,0.7617,0.3771,0.4266,-0.3935912613480753,-0.36729470368396944,-0.41957734351840464,15.095,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.35301455301455303,0.30879089231110923,0.1646109238869525,0.30826526929142173,0.644,0.592,0.449,-0.290985446985447,-0.28320910768889074,-0.28438907611304753,11.964,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.19683168316831684,0.039876398951290706,0.02008229494549427,0.19672606695328046,0.8159,0.6636,0.6425,-0.6190683168316831,-0.6237236010487093,-0.6224177050545057,47.685,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3408391070053888,0.11393736806412114,0.09197898890914474,0.3377316177716092,0.9172,0.786,0.8163,-0.5763608929946112,-0.6720626319358789,-0.7243210110908553,28.831,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.23457027494712554,0.008017522655998638,0.006022865285240727,0.2332389119853216,0.3443,0.1224,0.0932,-0.10972972505287445,-0.11438247734400135,-0.08717713471475928,40.396,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5355191256830601,0.24258062616100085,0.22076021031562856,0.4240272564308659,0.7508,0.4619,0.5324,-0.21528087431693987,-0.21931937383899913,-0.31163978968437145,15.902,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2551602986385595,0.017690089884889754,0.013994259195968145,0.2526204903347769,0.4202,0.2199,0.1557,-0.16503970136144053,-0.20220991011511025,-0.14170574080403187,13.633,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.29508196721311475,0.0637542486224023,0.012130600291833733,0.24688189643413522,0.7508,0.4619,0.5324,-0.4557180327868853,-0.39814575137759767,-0.5202693997081662,1.82,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3894214876033058,0.012246023455928214,0.013569302866469946,0.3882385227474517,0.9362,0.7588,0.8189,-0.5467785123966942,-0.7465539765440719,-0.80533069713353,11.36,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3495193492728617,0.03476807469961074,0.030081219822389912,0.345492774653343,0.9369,0.7971,0.8483,-0.5873806507271382,-0.7623319253003893,-0.8182187801776102,34.473,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.3798245169143379,0.008120614751683656,0.007852439317809181,0.37240141448188774,0.7617,0.3771,0.4266,-0.38187548308566216,-0.36897938524831636,-0.4187475606821908,15.163,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.3305613305613306,0.29313158928625804,0.150983428326286,0.29269845034651737,0.644,0.592,0.449,-0.31343866943866944,-0.2988684107137419,-0.298016571673714,12.434,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.17966996699669968,0.030842404253192932,0.015975779337021087,0.1785566159427603,0.8159,0.6636,0.6425,-0.6362300330033003,-0.632757595746807,-0.6265242206629789,44.247,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2634719014626636,0.04427937890786384,0.032335692975686045,0.2625888408594225,0.9172,0.786,0.8163,-0.6537280985373364,-0.7417206210921362,-0.783964307024314,29.418,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21630455681599692,0.0016246146153399894,0.0005189040786251376,0.2160239957839707,0.3443,0.1224,0.0932,-0.12799544318400308,-0.12077538538466001,-0.09268109592137487,40.92,
